	
5.91	6.26
5.92	6.25
	
5.92	6.25
	
5.89	6.27
	
5.9	6.26
	
5.89	6.27
	
5.9	6.26
	
5.91	6.26
	
5.92	6.25
5.91	6.24
	
5.92	6.25
5.9	6.25
	
5.92	6.25
	
5.95	6.24
5.93	6.23
	
5.91	6.24
	
5.93	6.25
	
4.12	0.55
5.24	4.23
	
4.11	0.55
5.26	4.3
	
4.04	0.61
5.27	4.45
3.85	0.07
	
5.25	4.43
	
4	0.64
5.25	4.41
3.83	0.13
	
3.8	0.79
4.01	0.63
5.25	4.65
	
3.79	0.79
4.01	0.63
5.25	4.66
5.26	4.43
3.55	0.18
3.85	0.14
	
3.79	0.79
5.25	4.67
3.57	0.23
	
3.4	0.84
4.38	0.27
3.38	0.85
	
4.33	0.1
4.38	0.28
	
4.32	0.11
4.37	0.29
5.24	3.71
	
4.28	0.12
4.34	0.32
5.25	3.86
	
6.26	0.14
	
6.25	0.13
	
6.28	0.14
	
6.3	0.14
	
4.25	0.55
4.17	0.28
	
4.24	0.57
4.15	0.29
5.25	4.13
	
4.15	0.3
5.24	4.08
	
4.24	0.57
4.16	0.32
5.23	4.03
	
4.24	0.58
4.16	0.32
5.22	3.99
	
4.24	0.67
3.8	1.18
4.08	0.15
3.34	0.3
4.17	0.42
3.59	0.78
4.17	0.42
3.59	0.78
	
4.21	0.75
4.06	0.92
4.03	0.18
3.7	0.25
4.13	0.51
3.92	0.65
4.13	0.51
3.92	0.66
4.13	0.51
3.92	0.66
	
4.22	0.75
4.04	0.2
5.21	4.07
	
4.19	0.79
4	0.22
4.1	0.54
5.21	4.13
	
4.2	0.78
4.01	0.22
4.12	0.54
5.21	4.1
	
4.2	0.79
4.01	0.22
4.12	0.54
	
4.09	0.28
4.19	0.61
4.25	0.81
	
4.19	0.59
4.27	0.84
4.1	0.29
	
4.24	0.59
4.31	0.8
4.14	0.28
5.2	3.89
	
4.27	0.58
4.33	0.78
4.17	0.27
5.21	3.87
	
4.44	1.11
4.6	1.66
4.28	0.6
4.19	0.29
5.23	3.95
	
4.45	1.07
4.32	0.63
